Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Pioneer Park,"700 W 21st St, Kearney NE 68845",40.69673,-99.09142,"700 W 21ST ST, KEARNEY, NE, 68845",Exact,US Census
Bilon-Nye Home,"2212 7th Ave, Kearney NE 68845",40.697952,-99.09129,"2212 7TH AVE, KEARNEY, NE, 68845",Exact,US Census
